ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I08,Texture+Temporal+Climate:,0.8554,0.3602,0.2237
I08,Texture+Temporal+Topography:,0.8711,0.4182,0.1545
I08,Texture+Temporal+SocioEconomic:,0.8343,0.3113,0.2543
I08,Texture+Temporal+LandCover:,0.8731,0.4105,0.2866
I08,Texture+Climate+Topography:,0.8849,0.4071,0.0742
I08,Texture+Climate+SocioEconomic:,0.8395,0.3198,0.1936
I08,Texture+Climate+LandCover:,0.889,0.538,0.3449
I08,Texture+Topography+SocioEconomic:,0.8746,0.4547,0.2013
I08,Texture+Topography+LandCover:,0.8874,0.5203,0.2
I08,Texture+SocioEconomic+LandCover:,0.8807,0.4576,0.344
I08,Temporal+Climate+Topography:,0.8497,0.4096,0.1031
I08,Temporal+Climate+SocioEconomic:,0.7387,0.2241,0.1243
I08,Temporal+Climate+LandCover:,0.8281,0.4529,0.2862
I08,Temporal+Topography+SocioEconomic:,0.8343,0.3897,0.1627
I08,Temporal+Topography+LandCover:,0.8591,0.5026,0.2087
I08,Temporal+SocioEconomic+LandCover:,0.7988,0.4043,0.3171
I08,Climate+Topography+SocioEconomic:,0.8517,0.3452,0.049
I08,Climate+Topography+LandCover:,0.8883,0.5287,0.1656
I08,Climate+SocioEconomic+LandCover:,0.8115,0.4486,0.2921
